Date,Close,Volume,Open,High,Low
10/16/2014,523.07,"3,708,500",517.58,527.98,513.59
10/17/2014,509.77,"5,539,300",525.81,529.53,507.14
10/20/2014,519.41,"2,607,500",508.06,520.33,506.71
10/21/2014,525.1,"2,336,200",523.75,525.35,517.69
10/22/2014,531.25,"2,919,200",528.44,538.32,527.35
10/23/2014,542.49,"2,348,800",537.84,545.72,534.38
10/24/2014,538.3,"1,973,100",542.87,543.39,534.32
10/27/2014,539.29,"1,185,300",535.56,542.92,535.56
10/28/2014,547.4,"1,270,900",541.51,547.48,540.14
10/29/2014,547.83,"1,770,500",548.49,552.67,545.48
10/30/2014,548.8,"1,455,600",547.45,551.29,542.02
10/31/2014,557.55,"2,035,000",557.82,558.04,553.23
11/3/2014,553.7,"1,382,200",553.98,556.37,551.72
11/4/2014,552.59,"1,244,200",551.49,553.98,547.8
11/5/2014,544.43,"2,032,200",555.28,555.28,542.56
11/6/2014,540.56,"1,333,200",544.01,545.39,539.49
11/7/2014,539.53,"1,633,700",544.71,544.71,537.2
11/10/2014,545.99,"1,134,600",539.98,548.09,539.54
11/11/2014,548.78,"965,500",546.99,550.43,544.8
11/12/2014,545.81,"1,129,600",548.88,548.95,543.68
11/13/2014,543.89,"1,339,300",548.29,548.29,541.99
11/14/2014,542.91,"1,289,500",545.18,545.18,540.67
11/17/2014,535.04,"1,726,000",542.09,542.3,532.6
11/18/2014,533.57,"1,962,600",536.03,540.46,532.71
11/19/2014,535.52,"1,392,200",533.54,536.77,528.63
11/20/2014,533.37,"1,563,300",529.8,533.64,529.63
11/21/2014,536.03,"2,224,200",540.13,540.66,535.09
11/24/2014,537.79,"1,706,300",536.18,541.21,534.15
11/25/2014,539.6,"1,789,900",537.52,542.49,537.13
11/26/2014,538.89,"1,522,900",539.4,540.07,535.57
11/28/2014,540.35,"1,148,300",539.14,540.52,535.13
12/1/2014,532.34,"2,115,300",537.42,539.93,530.4
12/2/2014,532.29,"1,526,600",532.05,534.03,528.35
12/3/2014,529.87,"1,277,900",529.98,534.53,527.81
12/4/2014,535.84,"1,392,100",529.71,535.87,527.14
12/5/2014,523.82,"2,565,600",529.55,531.43,522.84
12/8/2014,525.54,"2,329,300",525.69,529.55,522.36
12/9/2014,531.91,"1,871,300",520.71,532.73,519.07
12/10/2014,524.62,"1,712,200",531.62,534.86,524.12
12/11/2014,526.89,"1,610,800",526.35,532.46,525.66
12/12/2014,517.24,"1,994,500",522.08,527.05,517.24
12/15/2014,512.39,"2,813,400",521.31,521.67,511.86
12/16/2014,494.03,"3,964,200",510.16,511.65,487.66
12/17/2014,503.51,"2,883,100",495.64,505.61,495.45
12/18/2014,509.7,"2,926,700",511.55,512.46,503.32
12/19/2014,514.94,"3,690,200",510.11,516.3,505.52
12/22/2014,523.43,"2,723,700",514.67,525.02,514.67
12/23/2014,529.14,"2,197,600",525.56,533.1,524.85
12/24/2014,527.32,"705,900",529.06,530.3,525.58
12/26/2014,532.57,"1,040,500",527.32,532.79,525.87
12/29/2014,528.88,"2,278,500",530.73,534.01,528.56
